code_op;nom_op;num_site;id_site_partage;id_station_anfr;x;y;latitude;longitude;nom_reg;nom_dep;insee_dep;nom_com;insee_com;site_2g;site_3g;site_4g;site_5g;mes_4g_trim;site_ZB;site_DCC;site_strategique;site_capa_240mbps;date_ouverturecommerciale_5g;site_5g_700_m_hz;site_5g_800_m_hz;site_5g_1800_m_hz;site_5g_2100_m_hz;site_5g_3500_m_hz
20801;Orange;00000273R1;;0762290202;561482;6930167;49,45584;1,09;Normandie;Seine-Maritime;76;Mont-Saint-Aignan;76451;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000273Z1;;0142290128;460048;6906241;49,21083;-0,29361;Normandie;Calvados;14;Colombelles;14167;1;1;1;1;0;0;0;0;1;2021-06-07;0;0;0;0;1
20801;Orange;00000274R1;;0762290164;558778;6930851;49,46139;1,0525;Normandie;Seine-Maritime;76;Déville-lès-Rouen;76216;1;1;1;1;0;0;0;0;1;2021-03-31;0;0;0;0;1
20801;Orange;00000275R1;;0762290165;564703;6929162;49,4475;1,13473;Normandie;Seine-Maritime;76;Rouen;76540;1;1;1;1;0;0;0;0;1;2021-07-30;0;0;0;0;1
20801;Orange;00000275Z1;;0502290090;401533;6898493;49,11666;-1,09;Normandie;Manche;50;Saint-Lô;50502;1;1;1;1;0;0;0;0;1;2022-10-11;0;0;0;0;1
20801;Orange;00000276R1;;0762290172;560007;6928379;49,43945;1,07027;Normandie;Seine-Maritime;76;Rouen;76540;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
20801;Orange;00000276Z1;;0502290093;403866;6898064;49,11389;-1,05778;Normandie;Manche;50;Saint-Lô;50502;1;1;1;1;0;0;0;0;1;2022-01-21;0;0;0;0;1
20801;Orange;00000277R1;;0762290217;562195;6928820;49,44389;1,10028;Normandie;Seine-Maritime;76;Rouen;76540;1;1;1;1;0;0;0;0;1;2023-06-20;0;0;0;0;1
20801;Orange;00000277Z1;;0502290083;363912;6960500;49,65445;-1,65445;Normandie;Manche;50;Cherbourg-en-Cotentin;50129;1;1;1;1;0;0;0;0;1;2021-06-30;0;0;0;0;1
20801;Orange;00000278R1;;0762290299;562084;6926721;49,425;1,09944;Normandie;Seine-Maritime;76;Rouen;76540;1;1;1;0;0;0;0;0;1;;0;0;0;0;0
